pull,start,end,query,page,clicks,impressions,ctr,position
7q,2026-09-16,2026-09-23,how much do truck dispatchers make per load,how-much-does-a-truck-dispatcher-cost.html,0,1,0,36
7q,2026-09-16,2026-09-23,truck dispatch software pricing,how-much-does-a-truck-dispatcher-cost.html,0,1,0,82
7q,2026-09-16,2026-09-23,what is a dispatch fee,how-much-does-a-truck-dispatcher-cost.html,0,1,0,69
90q,2026-06-25,2026-09-23,dispatch service cost,how-much-does-a-truck-dispatcher-cost.html,0,16,0,80.6
90q,2026-06-25,2026-09-23,how much do truck dispatchers make per load,how-much-does-a-truck-dispatcher-cost.html,0,11,0,35.8
90q,2026-06-25,2026-09-23,dr dispatch pricing,how-much-does-a-truck-dispatcher-cost.html,0,8,0,62
90q,2026-06-25,2026-09-23,its dispatch price,how-much-does-a-truck-dispatcher-cost.html,0,7,0,54.6
90q,2026-06-25,2026-09-23,dispatcher fee,how-much-does-a-truck-dispatcher-cost.html,0,5,0,48.8
90q,2026-06-25,2026-09-23,dispatch fee,how-much-does-a-truck-dispatcher-cost.html,0,4,0,76
90q,2026-06-25,2026-09-23,dispatch pricing,how-much-does-a-truck-dispatcher-cost.html,0,4,0,46.8
90q,2026-06-25,2026-09-23,digital dispatcher pricing,how-much-does-a-truck-dispatcher-cost.html,0,3,0,79.3
90q,2026-06-25,2026-09-23,dispatch fees,how-much-does-a-truck-dispatcher-cost.html,0,3,0,79.7
90q,2026-06-25,2026-09-23,internet dispatcher pricing,how-much-does-a-truck-dispatcher-cost.html,0,3,0,36.7
90q,2026-06-25,2026-09-23,dispatch services for owner operators,how-much-does-a-truck-dispatcher-cost.html,0,2,0,3
90q,2026-06-25,2026-09-23,dispatchdirect pricing,how-much-does-a-truck-dispatcher-cost.html,0,2,0,79
90q,2026-06-25,2026-09-23,dispatchmax pricing,how-much-does-a-truck-dispatcher-cost.html,0,2,0,78
90q,2026-06-25,2026-09-23,how much does dispatch cost,how-much-does-a-truck-dispatcher-cost.html,0,2,0,68.5
90q,2026-06-25,2026-09-23,how much does it cost to start a dispatch company,how-much-does-a-truck-dispatcher-cost.html,0,2,0,60.5
90q,2026-06-25,2026-09-23,central dispatch cost,how-much-does-a-truck-dispatcher-cost.html,0,1,0,83
90q,2026-06-25,2026-09-23,central dispatch prices,how-much-does-a-truck-dispatcher-cost.html,0,1,0,85
90q,2026-06-25,2026-09-23,dispatch! pricing,how-much-does-a-truck-dispatcher-cost.html,0,1,0,82
90q,2026-06-25,2026-09-23,how much did dispatch cost to make,how-much-does-a-truck-dispatcher-cost.html,0,1,0,62
90q,2026-06-25,2026-09-23,how much did it cost to make dispatch,how-much-does-a-truck-dispatcher-cost.html,0,1,0,82
90q,2026-06-25,2026-09-23,how much is dispatch on steam,how-much-does-a-truck-dispatcher-cost.html,0,1,0,64
90q,2026-06-25,2026-09-23,i am a 35-44 year old founder in the transportation industry. my job seniority is at the owner level. i work at a com...,how-much-does-a-truck-dispatcher-cost.html,0,1,0,3
90q,2026-06-25,2026-09-23,price dispatch,how-much-does-a-truck-dispatcher-cost.html,0,1,0,26
