window,dimension,query,page,clicks,impressions,ctr_pct,position
2026-08-26..09-23,"query,page",current hotshot rates per mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,7
2026-08-26..09-23,"query,page",hot shot cost per mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,36
2026-08-26..09-23,"query,page",hot shot expediting,https://loadboot.com/hotshot-freight-rates.html,0,1,0,3
2026-08-26..09-23,"query,page",hot shot final mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,3
2026-08-26..09-23,"query,page",hot shot load prices,https://loadboot.com/hotshot-freight-rates.html,0,1,0,50
2026-08-26..09-23,"query,page",hot shot near me,https://loadboot.com/hotshot-freight-rates.html,0,1,0,3
2026-08-26..09-23,"query,page",hot shot price,https://loadboot.com/hotshot-freight-rates.html,0,1,0,2
2026-08-26..09-23,"query,page",hot shot prices per mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,40
2026-08-26..09-23,"query,page",hot shot pricing,https://loadboot.com/hotshot-freight-rates.html,0,1,0,9
2026-08-26..09-23,"query,page",hot shot shipping rates,https://loadboot.com/hotshot-freight-rates.html,0,1,0,7
2026-08-26..09-23,"query,page",hot shot trucking bidding websites,https://loadboot.com/hotshot-freight-rates.html,0,1,0,5
2026-08-26..09-23,"query,page",hot shot trucking pay per load,https://loadboot.com/hotshot-freight-rates.html,0,1,0,42
2026-08-26..09-23,"query,page",hot shot trucking rates,https://loadboot.com/hotshot-freight-rates.html,0,1,0,48
2026-08-26..09-23,"query,page",hot shot trucking rates per mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,35
2026-08-26..09-23,"query,page",hotshot car hauling rates,https://loadboot.com/hotshot-freight-rates.html,0,1,0,32
2026-08-26..09-23,"query,page",hotshot factoring company checklist,https://loadboot.com/freight-broker-startup-checklist.html,0,1,0,94
2026-08-26..09-23,"query,page",hotshot freight rates,https://loadboot.com/hotshot-freight-rates.html,0,1,0,24
2026-08-26..09-23,"query,page",hotshot price,https://loadboot.com/hotshot-freight-rates.html,0,1,0,12
2026-08-26..09-23,"query,page",hotshot price per mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,27
2026-08-26..09-23,"query,page",hotshot pricing,https://loadboot.com/hotshot-freight-rates.html,0,1,0,39
2026-08-26..09-23,"query,page",hotshot rates houston,https://loadboot.com/hotshot-freight-rates.html,0,1,0,46
2026-08-26..09-23,"query,page",hotshot trucking prices,https://loadboot.com/hotshot-freight-rates.html,0,1,0,42
2026-09-16..09-23,"query,page",hotshot rates per mile 2026,https://loadboot.com/hotshot-rates-week-31-2026.html,0,11,0,7.9
2026-09-16..09-23,"query,page",hotshot rates per mile 2026,https://loadboot.com/hotshot-freight-rates.html,0,5,0,7.4
2026-09-16..09-23,"query,page",hot shot freight rates,https://loadboot.com/hotshot-freight-rates.html,0,3,0,20
2026-09-16..09-23,"query,page",hot shot rate calculator,https://loadboot.com/hotshot-freight-rates.html,0,2,0,25.5
2026-09-16..09-23,"query,page",current hotshot rates per mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,7
2026-09-16..09-23,"query,page",freight rescue hotshot service,https://loadboot.com/hotshot-freight-rates.html,0,1,0,18
2026-09-16..09-23,"query,page",hot shot expediting,https://loadboot.com/hotshot-freight-rates.html,0,1,0,3
2026-09-16..09-23,"query,page",hot shot final mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,3
2026-09-16..09-23,"query,page",hot shot pricing,https://loadboot.com/hotshot-freight-rates.html,0,1,0,9
2026-09-16..09-23,"query,page",hot shot trucking bidding websites,https://loadboot.com/hotshot-freight-rates.html,0,1,0,5
2026-09-16..09-23,"query,page",hot shot trucking rates per mile,https://loadboot.com/hotshot-freight-rates.html,0,1,0,35
2026-09-16..09-23,"query,page",hotshot car hauling rates,https://loadboot.com/hotshot-freight-rates.html,0,1,0,32
2026-09-16..09-23,"query,page",hotshot freight rates,https://loadboot.com/hotshot-freight-rates.html,0,1,0,24
2026-09-16..09-23,"query,page",hotshot freight rates,https://loadboot.com/market-rates.html,0,1,0,55
2026-09-16..09-23,"query,page",hotshot price,https://loadboot.com/hotshot-freight-rates.html,0,1,0,12
